RollNo	InstallmentNo	PayMode	ChequeNo	ChequeDate	DrawnOn	ReceiptNo	BankPunchNo	FinalAmt	AdvanceAmt	BalanceAmt	LateFee	CreatedBy	CreatedDate	LastUpdatedBy	LastUpdatedDate	SchoolCode	Reclot	sendtoac	receivedate	chkbounce	reason	ForSession	Narration	ChqBounceFee
S0701423	5	CHEQUE	9845	00:00.0	STATE BANK OF TRAVAN	1133		27200	0	0	0	lallan	54:28.0	admin	16:51.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802951	5	CHEQUE	483689	00:00.0	ICICI BANK	1134		28450	0	0	0	lallan	56:07.0	admin	06:55.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802510	5	CHEQUE	37	00:00.0	KOTAK MAHINDRA	1135	NULL	20000	0	0	0	sreeja	58:38.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802952	5	CHEQUE	518592	00:00.0	HDFC BANK	1136	NULL	26800	0	0	0	lallan	10:18.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903510	5	CHEQUE	115113	00:00.0	STATE BANK OF INDIA	1137	NULL	11250	0	0	0	lallan	11:01.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0702011	5	CHEQUE	769046	00:00.0	HDFC BANK	1138		27200	0	0	0	lallan	12:22.0	lallan	28:09.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0600546	5	CHEQUE	533956	00:00.0	CANARA BANK	1139		22050	0	0	0	lallan	12:53.0	lallan	39:45.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903481	5	CHEQUE	602081	00:00.0	ABN AMRO	1140	NULL	11250	0	0	0	lallan	13:30.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0500094	5	CHEQUE	33	00:00.0	KO	1141	NULL	27600	0	0	0	lallan	14:06.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903894	5	CHEQUE	861160	00:00.0	ICI	1142	NULL	11250	0	0	0	lallan	16:38.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903918	5	CHEQUE	405184	00:00.0	STANDARD CHARTERED	1143		11250	0	0	0	lallan	18:21.0	admin	07:54.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0600669	5	CHEQUE	177377	00:00.0	ICICI BANK	1144	NULL	7500	0	0	0	lallan	18:30.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0600670	5	CHEQUE	177378	00:00.0	ICICI BANK	1145	NULL	7500	0	0	0	lallan	19:04.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802338	5	CHEQUE	572364	00:00.0	HDFC BANK	1146	NULL	15650	0	0	0	lallan	20:51.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0601111	5	CHEQUE	352609	00:00.0	AXIS	1147		1650	0	0	0	lallan	21:36.0	lallan	40:50.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0903810	5	CHEQUE	317026	00:00.0	CITI BANK	1148	NULL	9600	0	0	0	lallan	22:09.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0702091	5	CHEQUE	229100	00:00.0	ABN AMRO	1149	NULL	27200	0	0	0	lallan	23:46.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802449	5	CHEQUE	553780	00:00.0	HDFC BANK	1150	NULL	22000	0	0	0	lallan	30:53.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0600622	5	CHEQUE	143124	00:00.0	UCO BANK	1151	NULL	24000	0	0	0	lallan	31:49.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802587	5	CHEQUE	267587	00:00.0	HDFC BANK	1152		28450	0	0	0	lallan	34:21.0	lallan	12:11.0	NULL	0	0	00:00.0	0	NULL	NULL		0
S0600737	5	CHEQUE	219653	00:00.0	CENTRAL BANK OF INDIA	1153	NULL	29250	0	0	0	lallan	35:22.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0600738	5	CHEQUE	219652	00:00.0	CENTAL BANK OF INDIA	1154	NULL	29250	0	0	0	lallan	36:15.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802829	5	CHEQUE	498508	00:00.0	STATE BANK OF PATIALA	1155	NULL	26800	0	0	0	lallan	36:56.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
S0802745	5	CHEQUE	963195	00:00.0	ORIENTAL BANK OF COM	1156	NULL	26800	0	0	0	lallan	37:46.0	NULL	NULL	NULL	0	0	00:00.0	0	NULL	NULL		0
